Nom,Type,Mentorat / coaching ,Incubation & accélération ,Formation & développement de compétences ,Réseautage & communauté ,Conseils techniques ou sectoriels ,Support administratif / réglementaire ,Support au marketing / commercialisation / accès au marché ,Support technologique / numérique ,ade,Accès aux infrastructures ou ressources physiques ,Soutien à l’innovation et recherche/développement (R&D),Soutien global de croissance & planification stratégique ,Type_organisation,OBNL?,Pallier Gouvernement,Localisation,Geographie,Site,Secteur,Modalite,Services,Public cible,Contacts,Autres,Onglet,Nombre d'entrées,Remarques,Geographie2
SODEC - Soutien culture/tourisme,Accompagnement / Financement,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Agence provinciale,FALSE,,Québec (provincial),Québec (Hors Montréal),https://sodec.gouv.qc.ca/,Culture & tourisme,Appels / demandes,"Soutien projets culturels, conseils",Entreprises culturelles,Voir site,Peut aider pour côté culturel/expérience,,,,Québec (Hors Montréal)
Startup Canada,Réseautage / Formation / Programmes thématiques,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OBNL / Réseau,TRUE,Fédéral,Canada (national),Canada,https://www.startupcan.ca/,Multi,Inscription aux événements,"Bootcamps, mentorat, événements",Entrepreneurs en démarrage,Voir site,Réseau national,,,,Canada
Startup Montréal (réseau),Réseautage / Ressources / Événements,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Réseau local,FALSE,,Montréal,Montréal,https://startupmontreal.com/,Multi,Inscription aux événements,"Événements, workshops, visibilité",Écosystème startup MTL,See site,Calendrier d'événements locaux,,,,Montréal
TandemLaunch,Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fonds de capital-risque et startup foundry,FALSE,,,Montréal,https://www.tandemlaunch.com,,Programme de 52 semaines,Création de startups deep tech,Entrepreneurs ambitieux,Non spécifié,"44 investissements, 3 sorties",,,,Montréal
Tourisme Montréal - Programmes & Ressources,Accompagnement sectoriel / Marketing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Organisme sectoriel,FALSE,,Canada (national),Montréal,https://www.tourisme-montreal.org/,Tourisme & hospitalité,Contact via site; adhésion,"Promotion, formations, partenariat",Entreprises touristiques,Voir site,Pertinent pour hammam touristique,,,,Montréal
Women Entrepreneurship Knowledge Hub (WEKH),Ressources / Réseau / Formation,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Réseau / OBNL,TRUE,Fédéral,Canada,Canada,https://wekh.ca/,Multi,Inscription plateforme,"Ressources, data, programmes pour femmes",Femmes entrepreneures,Voir site,Ressources sectorielles,,,,Canada
Yaroka Technologies,Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Incubateur environnemental,FALSE,,Montréal,Montréal,https://yaroka.ca,,Expertise en climatologie et technologie,"Accompagnement, expertise",Startups en climatologie et environnement,Non spécifié,Non spécifié,,,,Montréal
Zú Montréal,Incubateur,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Incubateur créatif,FALSE,,Montréal,Montréal,https://zumtl.com/fr/,,"Pré-incubation, incubation, croissance, soft-landing","Mentorat, ateliers, lab 5G, espaces de travail",Startups créatives et technologiques,Non spécifié,"Méthodologie MIT VMS, industries créatives",,,,Montréal
Mentor Canada,Mentorat,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OBNL / National,TRUE,Fédéral,Canada,Canada,https://nextcanada.com,Technologie,Programme Next 36 / Next AI,"Mentorat, coaching, financement",Entrepreneurs tech,info@nextcanada.com,Focus sur leadership et IA,,,,



